ticker,sector
CMCSA,Comm
EA,Comm
T,Comm
TMUS,Comm
TTWO,Comm
DIS,Consumer
KO,Consumer
NKE,Consumer
SBUX,Consumer
WMT,Consumer
COP,Energy
CVX,Energy
OXY,Energy
SLB,Energy
XOM,Energy
GS,Financials
MS,Financials
USB,Financials
V,Financials
WFC,Financials
ABBV,Healthcare
ABT,Healthcare
AMGN,Healthcare
GILD,Healthcare
MRK,Healthcare
BA,Industrials
CAT,Industrials
GE,Industrials
MMM,Industrials
UPS,Industrials
DD,Materials
DOW,Materials
NEM,Materials
NUE,Materials
SHW,Materials
AMT,RealEstate
CCI,RealEstate
O,RealEstate
PLD,RealEstate
PSA,RealEstate
ADBE,Tech
AMD,Tech
INTC,Tech
NVDA,Tech
QCOM,Tech
AEP,Utilities
D,Utilities
DUK,Utilities
NEE,Utilities
SO,Utilities
