,Equal-weight,Minimum-variance,Mean-variance (tangency)
ABBV,0.02,0.1329,0.81735
ABT,0.02,0.00201,-0.08262
ADBE,0.02,-0.01443,-0.10204
AEP,0.02,0.11364,-0.5513
AMD,0.02,0.00653,-0.09642
AMGN,0.02,-0.02614,-0.10572
AMT,0.02,-0.02881,-0.15976
BA,0.02,-0.03898,-0.21832
CAT,0.02,0.06253,0.67073
CCI,0.02,-0.02889,-0.55803
CMCSA,0.02,-0.01131,0.07415
COP,0.02,-0.0093,0.27653
CVX,0.02,-0.0496,-0.63081
D,0.02,-0.04792,-1.44685
DD,0.02,0.02027,-0.13636
DIS,0.02,0.02418,-0.84124
DOW,0.02,-0.07393,-0.54959
DUK,0.02,-0.01927,0.99251
EA,0.02,0.11716,-0.02311
GE,0.02,0.03991,0.49571
GILD,0.02,0.09106,0.29464
GS,0.02,0.03249,0.50145
INTC,0.02,-0.0241,-0.43406
KO,0.02,0.148,0.22101
MMM,0.02,0.08124,-1.06008
MRK,0.02,0.12522,-0.15029
MS,0.02,-0.05614,0.56856
NEE,0.02,-0.03516,-0.33821
NEM,0.02,0.08769,0.16164
NKE,0.02,0.00871,-0.17505
NUE,0.02,-0.03886,0.52307
NVDA,0.02,-0.01434,0.94157
O,0.02,0.10616,-0.22593
OXY,0.02,-0.01374,0.16034
PLD,0.02,-0.11281,0.14679
PSA,0.02,0.10674,0.6959
QCOM,0.02,-0.02146,-0.15019
SBUX,0.02,0.00324,-0.29839
SHW,0.02,-0.01049,0.33774
SLB,0.02,-0.02053,-0.2661
SO,0.02,-0.11275,1.4492
T,0.02,0.05886,-0.261
TMUS,0.02,0.01649,0.56503
TTWO,0.02,0.05511,-0.0013
UPS,0.02,0.07326,0.18378
USB,0.02,-0.00911,-0.01646
V,0.02,0.00277,-0.26684
WFC,0.02,-0.01336,-0.43935
WMT,0.02,0.20886,0.09888
XOM,0.02,0.1064,0.40883
