date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-03,0.9983,0.9931,1.0052,0.9893,0.9921,0.9957,0.9838,1.0092,0.987,1.0007
2020-01-06,1.0052,0.9898,1.0164,0.9863,0.9988,0.9983,0.9816,1.0084,0.9864,1.0056
2020-01-07,1.0094,0.9858,1.0121,0.9832,0.9878,0.9951,0.9768,0.9986,0.9903,1.0032
2020-01-08,1.0192,0.9869,0.9947,0.9911,0.9909,0.9958,0.9786,1.0036,0.9912,1.0015
2020-01-09,1.0214,0.9953,1.0034,0.9982,0.9954,0.9989,0.971,1.0022,1.0034,1.0072
2020-01-10,1.0123,0.9921,1.0,0.9966,0.9877,0.9868,0.9652,1.0131,1.0004,1.0098
2020-01-13,1.0195,0.9968,1.0013,1.0016,0.9826,0.9975,0.9763,1.028,1.0163,1.0173
2020-01-14,1.0187,1.0,1.0034,0.9918,0.9899,0.9985,0.979,1.0218,1.0082,1.0203
2020-01-15,1.0193,1.0007,0.9964,0.9859,1.0007,0.9922,0.9868,1.0342,1.0036,1.0342
2020-01-16,1.0305,1.0067,0.997,1.0083,0.9982,0.9987,0.9906,1.0379,1.02,1.041
2020-01-17,1.0439,1.0089,0.9883,1.016,0.9967,0.9951,0.9968,1.0422,1.0366,1.0506
2020-01-21,1.0431,1.0075,0.9646,1.0055,0.9918,0.9791,0.99,1.0578,1.0364,1.0602
2020-01-22,1.0485,1.0104,0.9538,1.0073,0.9958,0.9655,0.9791,1.0497,1.0438,1.065
2020-01-23,1.0367,1.008,0.9487,1.0019,0.9867,0.9771,0.9759,1.0606,1.0481,1.0719
2020-01-24,1.0215,0.9963,0.9389,0.9874,0.9659,0.9761,0.9621,1.0624,1.0521,1.0792
2020-01-27,1.0085,0.9816,0.9134,0.9729,0.9653,0.9556,0.9438,1.0609,1.0215,1.0797
2020-01-28,1.0199,0.9849,0.9146,0.9833,0.9682,0.9516,0.9477,1.0655,1.0479,1.0841
2020-01-29,1.0055,0.9751,0.9053,0.9806,0.9701,0.9697,0.9527,1.0588,1.0264,1.089
2020-01-30,1.0144,0.9799,0.9123,0.9939,0.9635,0.9544,0.9294,1.067,1.0345,1.1019
